Acres,Urban or Rural,Distance to GTET 100,Distance to GTET 200,Distance to CAISO substation,Population Density,percentile_GTET100,percentile_GTET200,percentile_CAISO,Parking,Rooftop
0.0006491927941881816,0,0.08158555826600264,0.04449118348199683,0.13431485429147955,0.028572426560480632,2.0,1.0,2.0,0,1
0.00021621817954750502,0,0.16173450558717517,0.08819893761084409,0.053880584496793484,0.2215643811054059,3.0,2.0,1.0,1,0
0.07416811499357953,1,0.1047588050230418,0.057128287342701124,0.096721586501282,0.14075471258746958,2.0,1.0,2.0,0,0
0.0002005860114346524,0,0.07524518054798175,0.04103357512099378,0.06573165608315494,0.14075471258746958,2.0,1.0,1.0,1,0
9.318298754679491e-05,0,0.01035521940153434,0.005647028422455274,0.009560754810681167,0.2215643811054059,0.0,0.0,0.0,0,1
4.827467304001252e-05,0,0.036163284533770414,0.021021978377951864,0.260719572210519,0.11886548604561806,1.0,0.0,3.0,0,1
0.0027533149279169145,0,0.2177609441899301,0.11875192532946488,0.20105406887215369,0.14075471258746958,3.0,3.0,3.0,0,0
0.001171534173378214,1,0.08119121250028137,0.0442761342724192,0.07496212734827083,0.0427305645790399,2.0,1.0,1.0,0,1
0.0009097778173711984,1,0.03262735234280913,0.017792726439191206,0.030124143562335445,0.008988554728887956,1.0,0.0,0.0,0,1
0.00037365192531724683,0,0.005212250586663973,0.0028424049811527335,0.21188343053677203,0.08551934518611663,0.0,0.0,3.0,0,1
0.00012073765026159688,0,0.0394294396594283,0.021502119636913272,0.036404366753492956,0.005908926845739169,1.0,0.0,0.0,1,0
0.00013011944222763024,0,0.027516029174970303,0.015005360369394252,0.02715249824994144,0.0427305645790399,1.0,0.0,0.0,0,1
0.00011371000044343123,0,0.048583143079158925,0.026493923419871817,0.061885103538468426,0.14075471258746958,1.0,0.0,1.0,0,1
0.00030969839057120083,0,0.07736200107169652,0.042187944255932905,0.06510982505029285,0.2215643811054059,2.0,1.0,1.0,1,0
0.0004210385019889191,0,0.18459301381035373,0.10066440460153775,0.00755515408749218,0.14075471258746958,3.0,2.0,0.0,0,1
0.00016992211413956008,1,0.0977627887709219,0.11185954070825374,0.3093838448497332,0.019933167999813706,2.0,2.0,3.0,0,0
0.0013280458287296723,1,0.08428828816912154,0.0459650675195355,0.11992931239623925,0.007591370056003818,2.0,1.0,2.0,0,0
0.0002609388281992692,0,0.12146340016859712,0.0662378310341252,0.05249918700669017,0.14075471258746958,3.0,2.0,1.0,0,1
7.05199149694147e-05,0,0.032552742244236196,0.01775203919434335,0.14264644970567056,0.14075471258746958,1.0,0.0,2.0,0,1
0.017261215711650853,1,0.08884084106448717,0.17644663659491308,0.13093689273452622,0.00891869549524375,2.0,3.0,2.0,0,0
8.687266269681296e-05,1,0.03768453194552043,0.04889583732449025,0.03479333040814353,0.005908926845739169,1.0,1.0,0.0,0,0
9.216145388864165e-05,1,0.12732438383287228,0.06943401066608972,0.11755590760991297,0.005908926845739169,3.0,2.0,2.0,0,0
0.0004927595930860573,0,0.16037495399941348,0.08745753116061021,0.06427949061130513,0.005804137995272859,3.0,2.0,1.0,0,1
0.00015706566231953482,1,0.023021620326185488,0.10561818174770245,0.1788178602438656,0.008988554728887956,0.0,2.0,3.0,0,0
2.1669174734145066e-05,0,0.1996047366793917,0.25659031879821703,0.1836552797784915,0.005908926845739169,3.0,3.0,3.0,0,0
0.0004854952745650352,0,0.02774115690754084,0.06340339664603556,0.22496979469608117,0.11886548604561806,1.0,2.0,3.0,0,1
0.00014596672422940573,0,0.003507875224906874,0.14708364801039758,0.0032387469189526143,0.011416163098024148,0.0,3.0,0.0,0,0
0.00014241203365010822,1,0.043815268163070735,0.22356113018104576,0.06695284863547198,0.005908926845739169,1.0,3.0,1.0,0,0
0.0002497924828108705,1,0.09687918796363403,0.052831283120275276,0.08944650291436199,0.008988554728887956,2.0,1.0,2.0,0,0
0.00018098108995910652,1,0.10871521985165992,0.14686136021576893,0.11146442281711035,0.008988554728887956,2.0,3.0,2.0,0,0
